symbol,date,open,close,volume
AAPL,2026-03-04,264.65,262.52,39258957.0
AAPL,2026-03-05,260.745,260.29,49424671.0
AAPL,2026-03-06,258.74,257.46,40628988.0
AAPL,2026-03-09,255.69,259.88,37958303.0
AAPL,2026-03-10,257.695,260.83,26403306.0
AAPL,2026-03-11,261.09,260.81,26131800.0
AAPL,2026-03-12,258.64,255.76,40132517.0
AAPL,2026-03-13,255.4,250.12,34193754.0
AAPL,2026-03-16,252.105,252.82,30091880.0
AAPL,2026-03-17,253.0785,254.23,27556024.0
AAPL,2026-03-18,252.625,249.94,34652568.0
AAPL,2026-03-19,249.4,248.96,34568663.0
AAPL,2026-03-20,248.11,247.99,87981315.0
AAPL,2026-03-23,253.99,251.49,37465587.0
AAPL,2026-03-24,250.49,251.64,27882961.0
AAPL,2026-03-25,254.1,252.62,28436700.0
AAPL,2026-03-26,251.995,252.89,41331888.0
AAPL,2026-03-27,253.91,248.8,46525772.0
AAPL,2026-03-30,249.995,246.63,38248670.0
AAPL,2026-03-31,247.89,253.79,48770963.0
AMZN,2026-03-04,210.47,216.82,54286831.0
AMZN,2026-03-05,215.98,218.94,60834400.0
AMZN,2026-03-06,214.99,213.21,50910303.0
AMZN,2026-03-09,210.46,213.49,53488342.0
AMZN,2026-03-10,214.19,214.33,35582400.0
AMZN,2026-03-11,215.71,212.65,34006300.0
AMZN,2026-03-12,210.33,209.53,44067157.0
AMZN,2026-03-13,209.4,207.67,34201623.0
AMZN,2026-03-16,208.35,211.74,42137043.0
AMZN,2026-03-17,212.885,215.2,41662109.0
AMZN,2026-03-18,213.96,209.87,37711795.0
AMZN,2026-03-19,207.06,208.76,35932990.0
AMZN,2026-03-20,207.5,205.37,55381136.0
AMZN,2026-03-23,209.78,210.14,43926097.0
AMZN,2026-03-24,207.885,207.24,34266291.0
AMZN,2026-03-25,211.62,211.71,35103651.0
AMZN,2026-03-26,210.57,207.54,45915765.0
AMZN,2026-03-27,206.325,199.34,55772474.0
AMZN,2026-03-30,201.35,200.95,42710345.0
AMZN,2026-03-31,204.875,208.27,57843337.0
GOOG,2026-03-04,302.72,303.45,19892189.0
GOOG,2026-03-05,303.09,300.91,22541297.0
GOOG,2026-03-06,296.072,298.3,17410318.0
GOOG,2026-03-09,294.14,306.01,19478510.0
GOOG,2026-03-10,305.875,306.93,14362200.0
GOOG,2026-03-11,306.3,308.42,13320300.0
GOOG,2026-03-12,306.155,303.21,14633273.0
GOOG,2026-03-13,307.0,301.46,16811259.0
GOOG,2026-03-16,303.5,304.42,14764954.0
GOOG,2026-03-17,304.65,309.41,14395157.0
GOOG,2026-03-18,307.905,306.3,13753387.0
GOOG,2026-03-19,303.21,305.73,15343571.0
GOOG,2026-03-20,304.135,298.79,34103002.0
GOOG,2026-03-23,300.53,299.02,22068828.0
GOOG,2026-03-24,296.21,289.2,27300898.0
GOOG,2026-03-25,291.72,289.59,21787018.0
GOOG,2026-03-26,286.049,280.74,28870381.0
GOOG,2026-03-27,277.4,273.76,25623591.0
GOOG,2026-03-30,275.89,273.14,21415696.0
GOOG,2026-03-31,277.84,286.86,30680107.0
META,2026-03-04,657.96,667.73,10709535.0
META,2026-03-05,662.15,660.57,13249534.0
META,2026-03-06,647.9,644.86,13000591.0
META,2026-03-09,634.78,647.39,13463300.0
META,2026-03-10,653.56,654.07,9844600.0
META,2026-03-11,654.76,654.86,8940900.0
META,2026-03-12,648.82,638.18,11019525.0
META,2026-03-13,623.27,613.71,18758294.0
META,2026-03-16,632.0,627.45,14353381.0
META,2026-03-17,628.53,622.66,10268468.0
META,2026-03-18,616.31,615.68,11622275.0
META,2026-03-19,611.96,606.7,12389745.0
META,2026-03-20,603.53,593.66,19820750.0
META,2026-03-23,605.787,604.06,13258580.0
META,2026-03-24,599.1,592.92,10647042.0
META,2026-03-25,598.74,594.89,12161179.0
META,2026-03-26,582.49,547.54,35664700.0
META,2026-03-27,540.1,525.72,29980300.0
META,2026-03-30,536.38,536.38,22758800.0
META,2026-03-31,549.98,572.13,32809500.0
NFLX,2026-03-04,97.12,98.66,52115674.0
NFLX,2026-03-05,98.495,99.17,53241615.0
NFLX,2026-03-06,99.38,99.02,39306944.0
NFLX,2026-03-09,97.69,98.32,47858580.0
NFLX,2026-03-10,97.81,96.94,40948700.0
NFLX,2026-03-11,97.41,94.89,33720500.0
NFLX,2026-03-12,94.926,94.31,33941082.0
NFLX,2026-03-13,94.55,95.31,29808277.0
NFLX,2026-03-16,95.58,95.2,34582324.0
NFLX,2026-03-17,95.3,94.36,26283342.0
NFLX,2026-03-18,94.445,94.7,27264739.0
NFLX,2026-03-19,94.31,91.74,38239433.0
NFLX,2026-03-20,91.37,91.82,61493975.0
NFLX,2026-03-23,91.99,93.38,33605523.0
NFLX,2026-03-24,92.79,90.92,28812449.0
NFLX,2026-03-25,91.735,92.28,29491408.0
NFLX,2026-03-26,91.534,93.32,59159281.0
NFLX,2026-03-27,94.534,93.43,44308432.0
NFLX,2026-03-30,92.757,92.97,29207947.0
NFLX,2026-03-31,93.25,96.15,53674277.0
